crop,soil_type,season,irrigation_type,ph_min,ph_max,n_required,p_required,k_required,yield_ton_per_acre,cost_rs_per_acre,price_rs_per_ton,climate_score,risk_score,fertilizer_cost_per_kg_n,fertilizer_cost_per_kg_p,fertilizer_cost_per_kg_k
Sugarcane,Loamy,Rabi,Rainfed,5.6,6.7,294,98,135,53.66,87079,4129,67,36,7.19,32.21,22.86
Groundnut,Clay,Zaid,Drip,6.0,7.4,53,76,65,2.98,42757,48004,89,45,8.13,34.5,25.24
Capsicum,Red,Kharif,Rainfed,5.7,6.8,191,115,86,24.83,107780,27533,60,45,6.48,25.22,24.42
Tomato,Clay,Zaid,Sprinkler,5.5,6.6,169,82,99,20.1,80715,12085,86,23,8.29,22.44,21.92
Wheat,Sandy,Rabi,Rainfed,6.4,6.6,129,55,62,2.63,45426,22135,61,36,5.48,29.78,16.01
Rice,Black,Kharif,Sprinkler,5.9,6.9,111,69,55,4.88,56842,19305,94,23,7.58,26.09,24.16
Soybean,Clay,Zaid,Canal,6.3,6.8,61,69,66,1.7,38631,49835,72,37,7.88,34.29,24.53
Cotton,Black,Zaid,Canal,6.4,7.2,185,80,81,3.84,62503,73066,92,52,5.55,24.8,24.88
Rice,Clay,Kharif,Rainfed,6.4,7.2,143,78,67,3.39,54155,22727,67,27,6.59,23.98,23.29
Tomato,Black,Zaid,Drip,6.3,7.4,234,85,111,22.7,62363,13009,87,41,6.51,32.24,28.84
Rice,Red,Rabi,Sprinkler,5.8,7.6,138,46,55,3.07,36370,20344,75,46,8.56,22.91,27.52
Soybean,Loamy,Zaid,Rainfed,5.5,6.9,70,82,59,2.97,25963,43969,66,54,8.45,29.93,26.02
Sugarcane,Sandy,Rabi,Canal,6.1,7.1,251,131,111,27.4,80344,3375,72,60,7.13,22.38,16.35
Tomato,Sandy,Kharif,Rainfed,6.4,7.7,178,102,78,28.86,75115,13448,87,28,6.0,30.3,19.54
Tomato,Sandy,Rabi,Rainfed,5.9,6.6,163,113,111,17.86,65143,15181,80,21,5.77,32.15,28.72
Cotton,Clay,Zaid,Canal,5.7,6.9,200,100,97,3.5,56996,76626,60,28,7.75,25.34,26.6
Tomato,Black,Kharif,Drip,6.1,7.6,198,109,95,22.67,72783,13112,81,58,5.42,25.69,27.96
Wheat,Red,Rabi,Drip,6.5,7.2,113,63,40,2.87,35033,19147,64,31,8.27,28.37,29.12
Potato,Red,Zaid,Sprinkler,5.9,7.1,236,116,125,20.34,49579,15515,92,21,6.56,33.49,20.12
Potato,Loamy,Kharif,Rainfed,5.6,7.2,189,132,99,27.98,66350,15883,83,20,5.5,20.79,20.21
Potato,Sandy,Kharif,Rainfed,5.9,7.0,247,128,83,24.92,56278,16999,73,32,6.62,24.94,21.77
Sugarcane,Black,Kharif,Canal,5.6,7.7,216,131,89,45.1,79533,3391,76,33,5.29,22.58,22.61
Potato,Black,Kharif,Rainfed,5.8,7.7,248,110,102,27.88,50186,17883,71,54,7.72,28.9,22.86
Maize,Red,Zaid,Drip,5.7,7.5,136,62,51,3.27,30783,20981,91,38,5.16,30.86,29.17
Soybean,Black,Zaid,Drip,5.8,6.7,75,78,48,2.13,30079,49589,70,44,7.41,29.87,27.05
Cotton,Loamy,Kharif,Drip,5.7,7.8,200,100,74,3.51,69748,77861,85,58,6.68,24.36,17.47
Soybean,Loamy,Kharif,Drip,6.0,7.4,66,69,53,2.44,40881,49878,67,36,7.78,34.59,17.53
Potato,Black,Kharif,Canal,6.5,7.7,199,91,123,25.1,51986,13543,71,46,7.74,31.48,22.82
Cotton,Sandy,Zaid,Rainfed,6.4,6.9,168,74,69,3.53,58430,71772,66,57,5.77,28.15,26.42
Rice,Sandy,Rabi,Drip,5.9,6.6,116,69,65,3.23,39657,22786,78,30,6.65,22.98,16.91
Sugarcane,Loamy,Kharif,Sprinkler,6.1,6.6,236,95,140,27.6,92643,3094,79,30,5.79,34.99,18.53
Capsicum,Red,Rabi,Rainfed,5.8,7.4,214,99,96,29.8,63174,20459,79,54,5.38,30.24,29.75
Maize,Loamy,Zaid,Drip,5.7,7.5,149,73,78,5.95,37261,15427,70,40,7.36,34.62,27.09
Potato,Red,Rabi,Rainfed,6.2,6.7,237,114,108,14.91,63727,17260,84,41,6.7,26.81,26.79
Groundnut,Sandy,Kharif,Drip,5.7,7.7,74,86,72,2.67,44265,46414,63,52,7.48,25.69,28.72
Cotton,Black,Zaid,Rainfed,5.6,7.0,177,65,96,1.67,51097,63671,68,47,8.61,34.83,18.41
Potato,Sandy,Kharif,Sprinkler,6.0,7.8,193,122,105,13.64,78218,19364,95,25,7.79,34.42,15.21
Cotton,Black,Kharif,Sprinkler,6.4,7.6,169,71,66,3.95,69385,50452,84,47,7.29,22.59,23.71
Soybean,Loamy,Kharif,Rainfed,5.6,6.6,55,70,59,2.92,39429,51369,63,24,5.53,29.11,16.75
Potato,Black,Zaid,Rainfed,6.4,7.5,196,87,139,22.37,63501,14584,64,51,5.15,32.72,18.88
Rice,Clay,Kharif,Drip,5.6,7.7,138,57,71,4.06,50570,23680,72,52,6.09,32.35,19.27
Potato,Black,Rabi,Rainfed,5.8,7.5,202,135,128,23.67,75986,19175,83,26,8.68,23.05,24.13
Potato,Black,Rabi,Canal,5.7,6.9,204,104,124,22.47,68706,18746,70,47,8.18,31.37,21.9
Wheat,Loamy,Rabi,Drip,5.8,7.5,96,69,61,2.82,45766,21473,73,59,8.6,32.5,18.67
Rice,Sandy,Rabi,Canal,5.6,7.0,111,77,79,5.09,35510,18874,70,40,7.17,22.88,18.96
Groundnut,Black,Kharif,Canal,6.4,6.8,49,62,96,1.59,43197,61962,71,50,8.7,28.39,20.6
Rice,Loamy,Rabi,Canal,5.5,7.2,105,66,65,3.8,56647,20265,95,26,8.86,34.71,27.94
Cotton,Black,Zaid,Rainfed,6.5,7.3,155,96,71,3.75,58952,68207,84,49,6.92,32.78,17.75
Maize,Sandy,Zaid,Canal,5.5,7.3,140,72,62,6.17,41997,16834,62,42,6.48,33.81,19.9
Wheat,Clay,Kharif,Canal,5.9,7.5,133,57,40,4.91,36322,24682,74,38,8.82,21.51,20.54
Groundnut,Sandy,Zaid,Sprinkler,5.9,7.7,60,88,92,1.49,42615,55021,78,42,7.35,32.71,23.86
Groundnut,Loamy,Kharif,Sprinkler,5.6,7.0,55,100,83,2.23,38419,60313,78,58,6.24,28.07,28.31
Potato,Clay,Zaid,Drip,5.8,6.8,208,97,102,28.12,63302,15224,94,26,7.21,20.08,19.56
Potato,Black,Rabi,Drip,5.7,7.5,237,126,97,23.05,77862,18994,91,60,5.82,30.28,23.52
Rice,Black,Kharif,Rainfed,5.6,6.5,100,54,76,5.39,43108,22611,61,43,6.45,32.72,22.41
Potato,Sandy,Rabi,Sprinkler,5.5,7.0,206,123,108,27.12,72427,17104,76,55,6.99,20.55,29.55
Cotton,Red,Rabi,Sprinkler,6.2,6.7,150,79,85,1.79,52493,75253,69,36,7.82,22.54,15.31
Soybean,Red,Kharif,Sprinkler,6.0,6.6,54,67,66,1.59,43598,51538,94,22,5.05,24.52,23.78
Tomato,Loamy,Zaid,Drip,6.3,7.0,238,91,114,26.42,76521,10984,75,59,7.07,24.57,27.73
Groundnut,Clay,Zaid,Canal,6.1,7.0,42,91,99,2.9,42352,51810,95,42,6.14,30.28,21.18
Potato,Black,Zaid,Canal,6.0,7.1,249,103,81,21.73,45209,12697,65,28,8.05,21.09,27.36
Maize,Black,Kharif,Canal,6.3,7.7,135,66,42,5.05,32575,17458,75,41,8.12,22.2,23.14
Cotton,Clay,Zaid,Drip,6.3,6.9,165,66,96,1.7,64321,51962,66,20,6.97,31.32,22.43
Tomato,Loamy,Kharif,Sprinkler,5.8,6.6,222,103,109,20.54,81062,15519,87,31,8.93,24.84,18.94
Maize,Black,Zaid,Drip,6.0,7.6,163,60,69,3.59,40715,16483,88,27,6.33,33.07,20.01
Rice,Clay,Zaid,Drip,6.2,7.0,148,47,68,5.34,49618,19849,83,33,6.1,32.07,24.53
Maize,Loamy,Kharif,Sprinkler,6.2,7.5,150,88,48,5.2,44901,16264,80,48,7.99,32.5,25.58
Tomato,Red,Zaid,Canal,6.0,7.4,180,108,119,27.97,50347,14756,87,33,5.81,25.94,28.09
Potato,Loamy,Zaid,Drip,6.4,7.3,215,94,86,26.0,45734,13087,64,23,5.13,31.14,15.39
Sugarcane,Clay,Kharif,Canal,5.6,6.9,292,120,81,41.31,88370,4145,94,53,5.34,31.07,19.51
Soybean,Red,Kharif,Rainfed,5.8,6.6,71,93,57,2.01,32700,39957,86,26,9.0,27.26,18.14
Soybean,Loamy,Zaid,Sprinkler,5.6,6.9,88,94,48,2.28,32092,37991,91,45,8.56,25.97,18.11
Maize,Red,Kharif,Sprinkler,6.4,7.7,155,70,56,3.41,46075,18736,61,34,8.27,31.52,28.82
Groundnut,Clay,Kharif,Rainfed,5.7,7.1,42,70,97,1.4,37272,44253,63,23,5.95,31.49,26.42
Wheat,Loamy,Kharif,Sprinkler,5.9,7.3,135,68,53,3.37,40630,24878,75,42,8.36,33.35,18.62
Rice,Clay,Rabi,Drip,5.8,6.8,145,71,54,2.78,51177,19733,95,25,5.41,34.51,26.7
Capsicum,Black,Zaid,Canal,6.5,6.7,232,85,134,21.46,98150,47678,95,38,7.74,22.56,15.44
Groundnut,Black,Kharif,Rainfed,6.1,7.0,73,62,92,2.65,48849,64221,90,27,8.41,28.05,16.71
Tomato,Black,Zaid,Rainfed,5.7,6.6,215,99,79,39.07,69333,15537,72,50,7.89,28.33,18.03
Wheat,Clay,Rabi,Drip,6.0,7.3,116,47,64,2.96,43703,24799,73,33,7.35,24.79,23.54
Soybean,Black,Rabi,Sprinkler,6.1,6.8,54,98,69,2.29,39866,46766,72,56,8.78,32.92,17.26
Soybean,Sandy,Rabi,Rainfed,5.7,6.6,90,91,52,2.43,36664,39334,72,20,6.74,34.12,24.66
Maize,Sandy,Rabi,Drip,5.8,6.9,134,71,50,5.51,35588,14043,81,46,5.9,22.14,19.81
Soybean,Black,Rabi,Canal,5.8,7.3,73,87,61,1.82,31057,35745,77,23,5.09,33.31,20.26
Groundnut,Loamy,Kharif,Canal,6.1,6.6,53,96,63,2.41,49833,43027,80,28,5.6,29.59,24.59
Capsicum,Clay,Zaid,Rainfed,6.3,7.5,219,108,119,25.58,64812,47050,83,52,8.64,28.26,21.89
Rice,Loamy,Kharif,Rainfed,6.2,7.1,120,44,42,5.21,45208,19586,86,23,8.82,31.18,19.96
Wheat,Sandy,Zaid,Sprinkler,6.4,7.0,131,58,67,2.15,35624,20525,62,26,7.84,28.34,23.1
Wheat,Black,Kharif,Sprinkler,6.4,6.8,90,46,68,2.78,38902,23616,76,41,7.51,31.91,23.06
Wheat,Red,Kharif,Drip,6.2,7.2,124,59,40,2.72,34453,20787,95,59,5.82,22.62,22.92
Capsicum,Red,Zaid,Drip,6.2,6.9,171,111,128,25.65,110906,27191,65,24,5.99,21.25,22.29
Capsicum,Loamy,Kharif,Drip,5.6,7.5,168,80,139,22.48,111626,20076,61,34,8.81,27.4,26.03
Capsicum,Red,Kharif,Sprinkler,6.1,7.0,225,133,95,18.77,84603,45712,74,29,6.73,22.04,16.08
Tomato,Clay,Kharif,Rainfed,5.5,7.2,207,117,103,22.33,79508,13637,86,39,6.98,26.48,27.53
Wheat,Sandy,Zaid,Rainfed,5.9,6.9,126,69,68,3.02,35695,22990,92,25,5.78,27.89,17.6
Cotton,Loamy,Zaid,Rainfed,5.9,7.0,140,99,72,2.43,60100,53854,90,22,7.46,28.25,23.28
Maize,Black,Kharif,Drip,5.6,7.0,179,58,79,6.53,41864,16339,68,42,8.04,33.25,24.41
Sugarcane,Black,Rabi,Rainfed,6.4,7.3,289,96,87,27.75,90923,3187,70,54,8.68,27.29,25.88
Tomato,Clay,Zaid,Rainfed,5.7,6.6,237,76,113,20.27,54289,17563,75,50,8.21,31.71,24.33
Tomato,Black,Kharif,Drip,5.7,6.5,198,89,100,36.52,73602,12148,72,51,5.5,22.16,19.24
Maize,Sandy,Rabi,Rainfed,5.6,6.7,120,55,76,6.9,47457,18714,72,34,7.91,21.83,21.28
Groundnut,Sandy,Kharif,Canal,5.6,7.0,55,75,66,2.05,39366,43502,74,55,7.88,21.78,24.84
Tomato,Loamy,Zaid,Drip,6.0,7.0,193,107,75,24.58,60175,11762,79,60,7.03,33.73,28.71
Tomato,Loamy,Rabi,Canal,6.2,6.7,194,83,101,25.15,59730,10914,94,31,7.9,26.61,22.55
Rice,Red,Rabi,Sprinkler,6.4,6.6,122,63,59,4.3,56615,23201,77,35,6.65,29.89,19.75
Rice,Loamy,Rabi,Canal,6.1,6.8,144,76,70,4.29,45689,19923,95,37,5.99,32.68,22.1
Rice,Black,Zaid,Rainfed,5.8,7.1,150,57,58,3.16,43501,18222,63,43,8.55,23.24,24.51
Groundnut,Black,Rabi,Drip,5.9,7.3,67,84,81,1.54,43569,58603,74,41,8.52,33.79,18.88
Groundnut,Black,Kharif,Rainfed,6.1,7.0,79,85,100,1.35,33207,57582,88,57,8.87,26.33,18.3
Rice,Clay,Rabi,Canal,6.5,7.1,124,68,44,3.61,53065,23932,70,48,8.65,24.0,29.28
Sugarcane,Sandy,Rabi,Canal,5.6,7.5,205,97,101,28.67,87196,3558,93,43,8.36,30.99,27.9
Rice,Sandy,Rabi,Rainfed,5.5,7.3,102,55,49,4.93,59548,22003,77,35,5.26,22.23,29.24
Capsicum,Red,Zaid,Sprinkler,6.0,7.4,152,96,81,20.19,65707,27418,79,47,7.62,34.31,20.36
Rice,Black,Rabi,Canal,6.0,6.9,148,55,69,4.62,58004,20131,82,32,7.09,20.73,28.63
Sugarcane,Black,Zaid,Rainfed,6.5,7.8,274,114,86,42.55,63878,3646,93,21,6.75,25.28,25.14
Tomato,Sandy,Zaid,Sprinkler,5.6,7.7,210,81,84,25.5,69713,9807,76,49,6.76,28.54,22.19
Soybean,Loamy,Rabi,Rainfed,6.3,7.5,59,65,62,2.72,35877,51007,73,23,6.16,31.08,17.18
Cotton,Loamy,Kharif,Rainfed,6.3,7.7,149,99,99,2.7,65422,65554,64,24,5.18,31.75,24.42
Tomato,Sandy,Kharif,Rainfed,5.7,7.0,240,113,79,21.37,63888,11515,64,47,7.77,24.72,22.93
Wheat,Clay,Zaid,Rainfed,6.0,7.4,122,55,52,2.07,30224,22968,84,47,7.62,31.85,20.08
Wheat,Red,Zaid,Drip,6.0,6.8,106,54,65,4.62,37167,23019,84,30,7.23,25.83,29.52
Rice,Clay,Kharif,Canal,5.6,6.9,138,71,77,4.98,57264,20822,71,34,6.5,30.91,19.62
Groundnut,Black,Rabi,Rainfed,6.4,7.5,66,68,63,2.35,33656,63339,82,31,7.46,33.4,27.22
Maize,Black,Zaid,Sprinkler,5.6,7.3,132,67,43,4.51,47290,19273,80,54,5.21,25.11,24.19
Maize,Clay,Kharif,Drip,6.0,6.6,139,65,48,3.76,38678,17657,67,49,6.85,34.55,16.67
Soybean,Clay,Rabi,Canal,5.5,7.1,55,91,52,2.41,40266,54424,73,39,5.1,33.98,22.56
Cotton,Sandy,Zaid,Drip,6.3,7.8,149,63,97,1.77,47186,56449,94,50,6.69,21.73,24.15
Capsicum,Loamy,Zaid,Canal,5.8,7.5,195,119,118,24.5,94172,27963,60,54,6.79,29.52,28.29
Wheat,Red,Zaid,Rainfed,5.9,7.2,121,56,52,2.32,44434,19258,91,29,6.5,32.33,17.35
Soybean,Red,Zaid,Rainfed,5.8,7.3,79,98,42,1.59,39997,51909,89,52,8.84,26.94,22.16
Soybean,Black,Rabi,Rainfed,5.8,7.5,65,65,73,1.66,32246,37270,94,49,6.18,23.04,26.16
Potato,Black,Kharif,Sprinkler,5.9,6.6,259,81,123,13.42,45972,19876,66,27,6.86,25.68,20.74
Rice,Red,Kharif,Sprinkler,5.9,6.5,104,66,67,3.34,36314,16425,66,60,6.03,28.26,28.75
Rice,Loamy,Zaid,Sprinkler,6.4,7.5,137,68,42,5.57,51002,22086,89,55,5.92,30.03,21.71
Cotton,Loamy,Zaid,Sprinkler,5.7,7.0,159,96,91,1.58,66479,58948,77,25,7.41,34.17,29.11
Maize,Black,Kharif,Sprinkler,5.8,7.2,125,67,47,6.86,43901,15924,60,27,6.2,30.46,28.86
Sugarcane,Sandy,Kharif,Drip,5.6,6.6,251,100,110,48.46,84526,2886,75,28,7.37,22.63,26.0
Sugarcane,Sandy,Zaid,Drip,6.0,7.4,230,111,93,42.75,69139,3259,86,56,7.03,34.82,28.32
Rice,Clay,Rabi,Rainfed,6.0,7.2,100,79,44,2.93,59236,19192,73,30,8.16,22.02,21.45
Tomato,Red,Kharif,Canal,6.3,7.1,235,80,105,39.72,50205,13711,79,33,7.22,22.41,21.51
Wheat,Clay,Rabi,Rainfed,5.7,6.8,112,61,60,4.85,48671,20848,95,31,8.65,33.45,25.29
Cotton,Black,Rabi,Canal,5.6,6.7,193,90,86,2.48,59236,67875,87,50,5.38,20.63,20.47
Groundnut,Red,Kharif,Rainfed,5.9,6.8,54,66,93,2.16,30112,47058,62,47,8.12,20.9,21.74
Maize,Red,Zaid,Canal,5.7,6.6,128,90,65,4.67,40508,20842,80,25,5.23,34.48,22.21
Sugarcane,Sandy,Kharif,Sprinkler,5.7,7.6,291,102,114,41.0,63230,3701,87,45,7.1,20.14,19.08
Groundnut,Red,Kharif,Sprinkler,5.8,7.8,55,78,81,3.0,38796,56961,84,20,8.59,27.54,18.45
Wheat,Black,Zaid,Canal,5.7,6.9,137,64,65,4.79,33410,24478,67,29,7.98,25.23,16.92
Wheat,Clay,Rabi,Drip,5.7,7.7,117,62,49,2.34,49631,19495,86,58,5.4,30.89,24.02
Sugarcane,Loamy,Zaid,Drip,6.2,6.6,299,93,85,59.33,90749,3310,64,39,5.9,20.13,22.23
Groundnut,Sandy,Kharif,Sprinkler,5.7,6.6,66,83,73,1.35,45344,56333,61,55,8.87,20.33,28.9
Tomato,Loamy,Kharif,Canal,6.0,7.6,209,115,104,17.95,79678,8657,67,47,8.48,26.63,29.41
Groundnut,Black,Zaid,Drip,5.7,6.8,57,64,60,2.26,49046,59525,85,45,6.5,24.06,25.37
Tomato,Clay,Kharif,Rainfed,5.6,7.2,227,99,87,26.1,52674,9246,95,42,8.92,24.83,17.15
Tomato,Clay,Zaid,Canal,5.8,6.9,187,94,98,21.53,62769,12355,87,39,8.27,34.68,22.23
Groundnut,Clay,Rabi,Sprinkler,6.0,6.7,50,67,69,2.72,47365,43646,82,59,5.9,30.2,19.13
Tomato,Black,Zaid,Drip,6.3,6.7,178,99,76,18.29,57248,16417,78,44,6.98,21.34,18.99
Soybean,Sandy,Rabi,Rainfed,6.5,7.3,80,60,64,2.37,36140,38031,81,51,5.37,33.82,18.69
Wheat,Black,Kharif,Drip,6.0,7.8,125,63,60,3.21,32837,22132,89,30,8.89,27.93,21.61
Capsicum,Sandy,Kharif,Sprinkler,6.0,7.1,208,82,90,12.24,116872,42212,61,60,7.2,24.58,16.03
Cotton,Loamy,Zaid,Sprinkler,5.9,7.3,156,73,73,2.63,49006,64305,69,53,5.5,24.59,17.52
Tomato,Red,Rabi,Drip,6.2,7.0,179,96,97,38.47,73397,9677,62,44,5.42,31.76,21.94
Maize,Clay,Kharif,Canal,6.4,7.6,128,80,56,4.9,37437,21657,75,26,5.56,29.16,16.83
Rice,Loamy,Kharif,Rainfed,6.0,7.1,100,41,44,4.04,35764,22598,89,55,8.04,24.31,22.09
Sugarcane,Loamy,Rabi,Rainfed,6.1,7.6,259,110,84,33.34,70015,2803,86,24,6.5,22.9,20.62
Capsicum,Red,Zaid,Rainfed,6.4,7.2,176,86,105,16.37,104886,31811,67,59,6.62,20.24,19.33
Wheat,Clay,Zaid,Drip,6.3,6.6,115,42,52,2.94,39139,19000,90,59,8.55,24.44,26.76
Sugarcane,Clay,Zaid,Rainfed,5.6,6.8,221,112,131,30.17,97610,2891,73,49,6.49,27.8,23.79
Capsicum,Sandy,Zaid,Drip,5.5,7.8,177,100,109,29.36,79154,29659,85,57,5.93,20.67,25.47
Tomato,Black,Kharif,Rainfed,5.9,6.6,160,98,77,20.47,52265,8902,74,31,7.12,25.83,19.16
Rice,Loamy,Kharif,Sprinkler,5.9,6.8,123,50,59,4.07,49233,18343,79,53,5.99,31.32,26.42
Soybean,Black,Rabi,Sprinkler,5.9,6.9,64,100,67,2.16,28986,35669,86,37,8.73,29.97,19.75
Soybean,Clay,Kharif,Rainfed,5.7,7.6,63,60,41,2.58,40549,38196,73,26,5.6,28.5,26.23
Tomato,Black,Kharif,Sprinkler,5.6,7.7,189,114,79,24.5,66023,15816,77,31,7.22,26.14,25.84
Rice,Black,Kharif,Rainfed,6.2,6.6,115,68,56,4.55,48374,20118,83,57,5.17,29.74,15.59
Potato,Clay,Rabi,Sprinkler,5.9,7.1,260,97,134,27.49,58931,16206,60,44,7.21,30.38,27.69
Maize,Black,Rabi,Canal,6.3,7.6,163,59,77,6.84,35881,14197,95,24,7.75,23.52,20.82
Rice,Red,Rabi,Rainfed,6.4,6.6,110,50,70,4.99,51913,21417,86,35,5.6,34.07,29.48
Sugarcane,Clay,Rabi,Drip,5.6,7.4,293,125,115,25.14,83124,3857,85,30,5.75,23.21,18.0
Potato,Red,Zaid,Drip,6.4,6.7,248,138,130,17.61,56375,19857,80,58,8.66,26.81,23.69
Potato,Sandy,Zaid,Canal,6.4,7.7,181,126,129,23.62,77390,12580,64,38,5.45,30.69,24.73
Rice,Black,Kharif,Canal,5.8,7.6,147,48,61,4.12,58038,23531,64,35,6.14,33.98,23.78
Soybean,Black,Zaid,Rainfed,6.2,7.0,62,79,78,1.71,39275,41022,75,32,7.61,27.55,27.35
Tomato,Black,Kharif,Canal,5.6,7.1,221,110,102,16.61,66989,14328,74,43,8.35,30.38,26.13
Sugarcane,Red,Zaid,Sprinkler,6.0,7.6,231,127,140,30.09,96212,3655,92,55,6.64,23.7,21.89
Maize,Clay,Rabi,Sprinkler,5.8,7.5,147,58,55,3.1,32404,16345,89,56,7.8,27.68,24.94
Wheat,Sandy,Kharif,Canal,5.6,7.6,133,57,42,2.26,32498,20457,72,36,5.13,33.58,24.44
Sugarcane,Loamy,Rabi,Rainfed,6.4,7.4,297,132,135,26.92,66705,3137,76,29,6.3,22.05,21.51
Tomato,Clay,Zaid,Sprinkler,5.6,7.3,237,83,102,16.81,79413,10551,83,37,5.94,23.64,19.93
Capsicum,Loamy,Zaid,Sprinkler,5.6,7.1,213,85,85,20.31,102302,47038,77,58,6.39,26.57,29.65
Wheat,Loamy,Rabi,Sprinkler,6.5,7.5,134,44,40,4.68,43404,20078,81,36,8.74,31.05,22.85
Maize,Clay,Rabi,Rainfed,6.1,6.6,158,57,50,4.29,36547,18553,71,48,5.96,31.67,17.1
Wheat,Black,Zaid,Sprinkler,5.5,7.3,94,41,53,3.99,33620,20620,87,33,6.2,32.81,18.06
Rice,Black,Kharif,Drip,5.7,7.4,131,66,44,2.97,48246,17993,88,52,5.82,26.64,20.21
Tomato,Red,Kharif,Canal,6.3,7.2,178,105,77,35.35,81659,15016,61,26,7.07,20.64,21.06
Potato,Sandy,Rabi,Rainfed,6.0,7.3,241,123,120,19.85,60876,15437,71,59,5.26,21.3,19.46
Wheat,Loamy,Zaid,Rainfed,5.5,6.8,111,43,46,3.83,33921,24451,66,48,7.99,30.19,16.73
Capsicum,Clay,Zaid,Rainfed,5.6,7.6,152,120,131,20.59,61134,28446,61,30,6.7,28.05,15.25
Tomato,Loamy,Kharif,Canal,6.0,7.2,207,92,106,24.95,63516,15124,70,45,8.46,24.73,20.79
Groundnut,Clay,Kharif,Rainfed,6.3,7.3,40,69,75,2.87,41042,53347,86,32,5.35,24.12,23.39
Wheat,Sandy,Kharif,Rainfed,6.3,7.3,102,64,50,4.28,38643,18697,76,34,6.34,23.86,18.82
Maize,Loamy,Kharif,Canal,6.3,6.6,166,54,62,6.87,33631,20834,87,52,6.6,22.69,29.92
Cotton,Black,Rabi,Sprinkler,6.3,6.9,161,84,71,2.15,61860,67508,85,55,7.02,30.66,19.98
Sugarcane,Loamy,Zaid,Drip,5.9,6.9,247,103,103,28.78,64637,3512,68,28,7.47,27.4,21.26
Wheat,Red,Zaid,Drip,5.9,7.1,122,51,69,2.38,36977,18257,95,29,8.94,34.19,22.44
Potato,Black,Rabi,Drip,6.0,7.3,210,88,87,15.28,55521,13196,78,24,5.21,24.51,27.44
Wheat,Sandy,Rabi,Drip,6.3,7.1,131,42,67,2.33,33986,21960,60,58,6.59,33.21,18.78
Maize,Clay,Zaid,Canal,6.2,6.9,151,77,75,3.25,33796,19218,83,37,7.36,31.93,18.07
Groundnut,Clay,Rabi,Drip,6.2,7.1,71,69,84,2.88,49589,40035,71,27,8.16,27.39,25.99
Maize,Red,Rabi,Rainfed,5.5,7.6,122,79,80,6.17,28037,15278,64,37,6.59,26.68,25.99
Capsicum,Clay,Kharif,Rainfed,6.3,7.1,156,100,119,11.0,115818,42528,62,58,5.07,28.3,26.19
Groundnut,Red,Zaid,Rainfed,6.3,7.7,69,96,98,1.74,32842,53427,91,26,5.61,34.98,22.42
Tomato,Loamy,Kharif,Rainfed,6.2,7.7,228,120,89,29.51,83795,10869,75,27,6.58,32.69,18.7
Wheat,Clay,Zaid,Canal,6.4,6.8,104,52,47,3.59,41442,19356,86,23,6.82,30.12,24.9
Soybean,Red,Kharif,Canal,6.5,7.4,68,85,73,1.55,30264,50180,65,23,6.16,33.71,17.32
Sugarcane,Sandy,Rabi,Rainfed,6.2,7.7,274,88,130,42.82,93233,3081,91,26,7.36,30.42,20.46
Wheat,Clay,Rabi,Canal,6.2,7.6,129,69,61,3.93,48677,22367,66,27,8.02,26.7,22.97
Cotton,Clay,Rabi,Canal,6.4,7.5,197,89,86,2.35,52720,63392,84,52,6.14,21.97,19.3
Cotton,Sandy,Zaid,Sprinkler,5.6,7.0,188,84,68,2.66,46449,74341,64,48,7.51,25.04,29.57
Soybean,Black,Rabi,Rainfed,5.6,7.4,85,83,77,1.63,33468,46728,88,57,5.81,24.77,28.74
Soybean,Red,Zaid,Rainfed,5.6,7.7,78,92,61,1.99,30460,37018,75,49,5.23,27.19,21.12
Groundnut,Black,Rabi,Rainfed,5.8,6.6,62,91,86,1.59,31059,54869,87,37,6.36,21.16,25.29
Potato,Clay,Kharif,Rainfed,6.0,6.7,226,121,108,20.6,54978,15600,81,49,8.65,25.41,20.72
Tomato,Sandy,Zaid,Sprinkler,6.3,6.5,167,118,89,22.23,87598,12403,81,53,8.77,21.64,17.6
Cotton,Red,Kharif,Drip,5.5,6.8,174,99,60,1.56,52428,76046,75,37,5.61,32.21,18.2
Rice,Red,Rabi,Sprinkler,5.5,6.5,118,52,79,4.45,54824,18725,74,55,6.77,20.49,27.55
Capsicum,Loamy,Rabi,Canal,5.7,6.9,217,91,126,16.94,115170,48313,79,52,8.92,30.84,20.06
Sugarcane,Black,Zaid,Sprinkler,5.8,7.5,242,133,102,49.31,76734,3195,73,44,7.86,27.56,18.97
Groundnut,Black,Rabi,Rainfed,5.7,7.2,64,88,90,2.13,39531,50566,71,26,7.5,31.84,29.06
Sugarcane,Loamy,Kharif,Sprinkler,5.7,7.2,248,115,109,31.05,88385,3063,88,53,7.88,27.64,26.0
Groundnut,Red,Zaid,Sprinkler,5.8,6.6,63,86,89,1.35,32086,61411,94,54,7.34,25.92,29.11
Capsicum,Loamy,Rabi,Canal,6.1,7.2,182,111,95,19.72,71069,30449,92,48,7.73,25.46,20.63
Wheat,Loamy,Rabi,Rainfed,6.4,6.6,112,62,45,2.35,36812,23649,70,36,8.16,20.15,27.59
Sugarcane,Sandy,Kharif,Drip,6.0,7.0,275,114,84,47.27,81022,3688,78,50,8.18,30.17,19.09
